"model","bpar","ft","type","n","ntext","accD","accI","FN","FP","jac","jac2","ham","fname"
"GPT4",1760,"NO","FULL",105248,2288,0.940939495287321,0.939333764062025,0.0405138339920949,0.0185466707205838,0.569627229595156,0.928312379110251,0.0590605047126791,"classified-chatgpt4"
"LLAMA2",13,"YES","FULL",110400,2400,0.961721014492754,0.959048913043478,0.0239039855072464,0.014375,0.741399860591906,0.952251773049646,0.0382789855072461,"classified-L2-13B-FT"
"LLAMA2",13,"NO","FULL",110400,2400,0.445389492753623,0.426458333333333,0.0266938405797101,0.527916666666667,0.0833575326806301,0.435913120567376,0.554610507246377,"classified-L2-13B"
"LLAMA2",70,"YES","FULL",110538,2403,0.963831442580832,0.961768803488393,0.0204183176826069,0.0157502397365612,0.776242333502631,0.955259825926811,0.0361685574191682,"classified-L2-70B-FT"
"LLAMA2",70,"NO","FULL",110492,2402,0.699236143793216,0.694937190022807,0.00928574014408283,0.291478116062701,0.211454895590907,0.684411926231686,0.300763856206784,"classified-L2-70B"
"LLAMA2",7,"YES","FULL",110492,2402,0.940077109654998,0.936972812511313,0.0316584006081888,0.0282644897368135,0.608609805240107,0.92739206689461,0.0599228903450024,"classified-L2-7B-FT"
"LLAMA2",7,"NO","FULL",110032,2392,0.320015995346808,0.291696960884106,0.0231296350152683,0.656854369637924,0.0741706898043415,0.313207144381982,0.679984004653192,"classified-L2-7B"
"LLAMA3",70,"YES","FULL",110262,2397,0.935063757232773,0.929576826105095,0.0324499827683155,0.0324862599989117,0.541519374558129,0.920334815682724,0.0649362427672273,"classified-L3-70B-FT"
"LLAMA3",70,"NO","FULL",110584,2404,0.778448961875136,0.767877812341749,0.0269478405555957,0.194603197569269,0.202323033646987,0.76189506850285,0.221551038124864,"classified-L3-70B"
"LLAMA3",8,"YES","FULL",110538,2403,0.77739781794496,0.765655249778357,0.0218024570735856,0.200799724981454,0.234538126129538,0.761052230810777,0.22260218205504,"classified-L3-8B-FT"
"LLAMA3",8,"NO","FULL",110400,2400,0.73963768115942,0.723994565217391,0.0403623188405797,0.22,0.135670156507708,0.723900709219858,0.26036231884058,"classified-L3-8B"
"LLAMA31",405,"NO","FULL",85054,1849,0.825910597973052,0.813283325887084,0.0295106638135773,0.14457873821337,0.225919115839115,0.808349539141341,0.174089402026948,"classified-L31-405B"
"LLAMA31",70,"NO","FULL",110584,2404,0.803651522824278,0.791172321493164,0.029904868697099,0.166443608478623,0.213258612626424,0.786570255248345,0.196348477175722,"classified-L31-70B"
"LLAMA31",8,"NO","FULL",110170,2395,0.574530271398747,0.559126804030135,0.0208132885540528,0.4046564400472,0.135680972981993,0.562306223071114,0.425469728601253,"classified-L31-8B"
"LLAMA32",1,"YES","FULL",48162,1047,0.791163157676176,0.782484116108135,0.0508076907105187,0.158029151613305,0.125713591557171,0.774553435347193,0.208836842323824,"classified-L32-1B-FT"
"LLAMA32",1,"NO","FULL",109112,2372,0.309608475694699,0.266945890461178,0.0217116357504216,0.668679888554879,0.0768339647087879,0.303021061318216,0.690391524305301,"classified-L32-1B"
"LLAMA32",3,"YES","FULL",109434,2379,0.789663175978215,0.782224902681068,0.0328051611016686,0.177531662920116,0.194896020231538,0.77289760582401,0.210336824021785,"classified-L32-3B-FT"
"LLAMA32",3,"NO","FULL",109204,2374,0.286408922750082,0.25639170726347,0.0090381304714113,0.704552946778506,0.0927430135956773,0.280315115883059,0.713591077249918,"classified-L32-3B"
